event_id	team_id	
1	3
2	5
3	8
4	6
5	1
9	7
10	3
12	6
13	8
14	1
15	5
21	6
22	5
23	7
27	4
28	8
29	1
30	3
31	3
32	8
33	1
34	5
39	4
40	7
41	9
42	10
43	7
44	9
45	11
46	2
47	12
48	13
49	14
50	15
51	16
52	4
53	17
54	23
55	11
56	28
57	17
58	23
59	22
60	29
61	4
62	27
63	28
64	22
65	17
66	28
67	4
68	14
69	12
70	13
71	24
72	27
73	4
74	21
76	4
77	10
78	17
79	26
80	26
81	9
82	18
83	25
84	27
85	10
86	2
87	22
88	25
89	2
90	18
91	10
92	27
93	17
94	18
95	24
96	19
97	25
98	27
99	17
100	10
101	2
102	24
103	18
104	19
110	9
112	9
116	20
117	2
118	18
119	2
120	20
121	18
122	19
