38	14		Piano Quartet No. 1 in G minor	K. 478	1785	Piano Quartet No. 1 in G minor K. 478 (1785)
40	14	9	“L’amerò, sarò costante” from Il re pastore	K. 208	1775	“L’amerò, sarò costante” from Il re pastore K. 208 (1775)
45	14		Divertimento for string trio in E-flat	K. 563	1788	Divertimento for string trio in E-flat K. 563 (1788)
71	14		Flute Quartet in G Major	K. 285	1777	Flute Quartet in G Major K. 285 (1777)
101	14		Adagio and Fugue in C minor	K. 546	1788	Adagio and Fugue in C minor K. 546 (1788)
102	14		Piano Concerto in C Major	K. 415	1782-1783	Piano Concerto in C Major K. 415 (1782-1783)
117	14		Divertimento in B-flat	K. 137	1772	Divertimento in B-flat K. 137 (1772)
147	14		Clarinet Quintet in A	K. 581	1789	Clarinet Quintet in A K. 581 (1789)
160	14		Trio in E-flat (Kegelstatt)	K. 498	1786	Trio in E-flat (Kegelstatt) K. 498 (1786)
162	14		Serenade No. 10 for winds in B-flat (Gran Partita)	K. 361/370a	1781	Serenade No. 10 for winds in B-flat (Gran Partita) K. 361/370a (1781)
36	15		Pieces for cello and piano	Op. 55		Pieces for cello and piano Op. 55 ()
18	16		String Sonata No. 1 in G major		1804	String Sonata No. 1 in G major  (1804)
90	16		Introduction, Theme and Variations for clarinet and piano			Introduction, Theme and Variations for clarinet and piano  ()
12	17		Trio for Violin, Viola and Cello		2006	Trio for Violin, Viola and Cello  (2006)
3	19		Grande marche héroïque in A minor for four hands	D. 885	1826	Grande marche héroïque in A minor for four hands D. 885 (1826)
4	19		Marche militaire in D major for four hands	D. 733	1818	Marche militaire in D major for four hands D. 733 (1818)
14	19		String Quintet in C major	D. 956	1828	String Quintet in C major D. 956 (1828)
51	19		The Shepherd on the Rock	D. 965	1828	The Shepherd on the Rock D. 965 (1828)
57	19		Die Winterreise		1828	Die Winterreise  (1828)
94	19		Piano Quintet in A Major, “Trout”	D. 667	1819	Piano Quintet in A Major, “Trout” D. 667 (1819)
